ID,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim
20150302265,2015030226,5,home,TRUE,OT,Mike Sullivan,4,42,43,12
20150301112,2015030111,2,away,TRUE,REG,Jack Capuano,5,26,40,8
201503011113,2015030111,13,home,FALSE,REG,Gerard Gallant,4,46,39,6
20150301122,2015030112,2,away,FALSE,REG,Jack Capuano,1,42,32,8
201503011213,2015030112,13,home,TRUE,REG,Gerard Gallant,3,31,22,12
201503011313,2015030113,13,away,FALSE,OT,Gerard Gallant,3,39,40,10
20150301132,2015030113,2,home,TRUE,OT,Jack Capuano,4,39,48,8
201503011413,2015030114,13,away,TRUE,REG,Gerard Gallant,2,29,32,8
20150301142,2015030114,2,home,FALSE,REG,Jack Capuano,1,27,28,8
20150301152,2015030115,2,away,TRUE,OT,Jack Capuano,2,42,65,2
201503011513,2015030115,13,home,FALSE,OT,Gerard Gallant,1,48,34,10
201503011613,2015030116,13,away,FALSE,OT,Gerard Gallant,1,42,41,6
20150301162,2015030116,2,home,TRUE,OT,Jack Capuano,2,51,45,6
201303017125,2013030171,25,away,FALSE,REG,Lindy Ruff,3,35,27,10
201303017124,2013030171,24,home,TRUE,REG,Bruce Boudreau,4,35,28,10
201303017225,2013030172,25,away,FALSE,REG,Lindy Ruff,2,36,28,6
201303017224,2013030172,24,home,TRUE,REG,Bruce Boudreau,3,19,40,12
201303017324,2013030173,24,away,FALSE,REG,Bruce Boudreau,0,37,30,32
201303017325,2013030173,25,home,TRUE,REG,Lindy Ruff,3,22,34,26
201303017424,2013030174,24,away,FALSE,REG,Bruce Boudreau,2,23,42,47
201303017425,2013030174,25,home,TRUE,REG,Lindy Ruff,4,26,30,35
201303017525,2013030175,25,away,FALSE,REG,Lindy Ruff,2,36,22,64
201303017524,2013030175,24,home,TRUE,REG,Bruce Boudreau,6,23,40,57
201303017624,2013030176,24,away,TRUE,OT,Bruce Boudreau,5,30,39,16
201303017625,2013030176,25,home,FALSE,OT,Lindy Ruff,4,24,35,12
201603023118,2016030231,18,away,TRUE,REG,Peter Laviolette,4,32,34,4
201603023119,2016030231,19,home,FALSE,REG,Mike Yeo,3,30,36,8
201603023218,2016030232,18,away,FALSE,REG,Peter Laviolette,2,24,33,23
201603023219,2016030232,19,home,TRUE,REG,Mike Yeo,3,20,24,2
201603023319,2016030233,19,away,FALSE,REG,Mike Yeo,1,23,30,12
201603023318,2016030233,18,home,TRUE,REG,Peter Laviolette,3,34,34,8
201603023419,2016030234,19,away,FALSE,REG,Mike Yeo,1,33,33,14
201603023418,2016030234,18,home,TRUE,REG,Peter Laviolette,2,25,31,10
201603023518,2016030235,18,away,FALSE,REG,Peter Laviolette,1,22,25,10
201603023519,2016030235,19,home,TRUE,REG,Mike Yeo,2,32,31,6
201603023619,2016030236,19,away,FALSE,REG,Mike Yeo,1,24,27,8
201603023618,2016030236,18,home,TRUE,REG,Peter Laviolette,3,18,27,2
201503016116,2015030161,16,away,FALSE,OT,Joel Quenneville,0,35,24,8
201503016119,2015030161,19,home,TRUE,OT,Ken Hitchcock,1,18,41,10
201503016216,2015030162,16,away,TRUE,REG,Joel Quenneville,3,29,25,6
201503016219,2015030162,19,home,FALSE,REG,Ken Hitchcock,2,31,41,10
201503016319,2015030163,19,away,TRUE,REG,Ken Hitchcock,3,36,40,12
201503016316,2015030163,16,home,FALSE,REG,Joel Quenneville,2,46,36,10
201503016419,2015030164,19,away,TRUE,REG,Ken Hitchcock,4,20,48,62
