animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
KE_car096,f,NA,NA,NA,NA,Kennedy,-122.7896121,55.31367567,NA,NA,NA,removal,NA,10/15/2019
KE_car095,f,NA,NA,NA,Unknown.  Suspected predation,Kennedy,-122.7896121,55.31367567,NA,-122.5310297,55.2891517,dead,NA,10/15/2019
KE_car099,f,NA,NA,NA,NA,Kennedy,-122.5904404,55.23270883,NA,NA,NA,removal,NA,10/14/2019
KE_car097,f,NA,NA,NA,NA,Kennedy,-122.5904404,55.23270883,NA,NA,NA,removal,NA,10/14/2019
MO_car102,f,15-Dec,NA,FALSE,NA,Moberly,-122.6061069,55.99397469,NA,NA,NA,removal,NA,10/14/2019
BP_car101,f,5-Mar,NA,NA,Unknown.  Suspected wolf predation,Burnt Pine,-122.3152811,55.42126297,includ. CAR100 (149.801),-122.269084,55.38963877,dead,NA,10/14/2019
BP_car100,f,5-Mar,NA,FALSE,NA,Burnt Pine,-122.3152811,55.42126297,includ. CAR101 (149.730); *no photos due to temp (-30 C),NA,NA,removal,NA,10/14/2019
MO_car103,f,3-Feb,NA,FALSE,NA,Moberly,-122.497179,55.86862183,NA,NA,NA,removal,NA,10/13/2019
MO_car104,f,7-May,NA,FALSE,NA,Moberly,-122.4501234,55.78901711,includ. CAR080  (ATS 148.228),NA,NA,removal,NA,10/13/2019
QU_car106,f,5-Mar,NA,FALSE,NA,Quintette,-120.9844692,54.92434282,includ. CAR105 and CAR059,NA,NA,removal,NA,10/13/2019
QU_car105,f,7-May,NA,FALSE,NA,Quintette,-121.0119635,54.93107863,includ. CAR106 and CAR059 (ATS 150.559; with calf; programmed  collar release failed - recaptured and collar retrieved),NA,NA,removal,NA,10/13/2019
QU_car107,f,10-Aug,NA,FALSE,Predation - Wolf,Quintette,-120.968233,54.87273019,"includ. CAR036, CAR105 and CAR106; retrieved released collar 150.690 (CAR057) from same ridge.",-121.0981002,54.71304269,dead,NA,10/12/2019
