filename,path,extension,size,mime_type,modified_date
telcomChurn.csv,DS106-Machine-Learning/ML/Data/telcomChurn.csv,csv,977501,text/csv,2021-06-28 02:00:00
CarData.csv,DS106-Machine-Learning/ML/Data/CarData.csv,csv,1475504,text/csv,2022-03-18 09:14:24
50_Startups.csv,DS106-Machine-Learning/ML/Data/50_Startups.csv,csv,2386,text/csv,2021-10-07 18:41:21
realestate.csv,DS106-Machine-Learning/ML/Data/realestate.csv,csv,21703,text/csv,2022-04-11 09:17:06
churn.csv,DS106-Machine-Learning/ML/Data/churn.csv,csv,674857,text/csv,2022-06-23 08:04:12
financialWB.csv,DS103-Metrics-and-Data-Processing/Workshops/Week-2/03-Factor-Analysis-Theory-and-Interpretation/financialWB.csv,csv,2964678,text/csv,2021-10-08 20:58:33
financialWB.csv,DS103-Metrics-and-Data-Processing/Workshops/Week-2/04-Factor-Analysis-Example/financialWB.csv,csv,2964678,text/csv,2021-10-08 20:58:33
financialWB.csv,DS103-Metrics-and-Data-Processing/Data/financialWB.csv,csv,2964678,text/csv,2021-10-08 20:58:33
studentSurveyCodebook.csv,DS103-Metrics-and-Data-Processing/Data/studentSurveyCodebook.csv,csv,3613,text/csv,2021-10-19 12:55:39
studentSurvey.csv,DS103-Metrics-and-Data-Processing/Data/studentSurvey.csv,csv,168868,text/csv,2021-10-19 12:55:39
hotels.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-3/12-Final-Project-in-R/hotels.csv,csv,16846346,text/csv,2021-06-28 01:59:00
hotels.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-3/10-Final-Project-in-Tableau/hotels.csv,csv,16846346,text/csv,2021-06-28 01:59:00
hotels.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-3/11-Final-Project-in-Python/hotels.csv,csv,16846346,text/csv,2021-06-28 01:59:00
datasets-733390-1272569-individuals.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-2/08-Data-Visualization-in-Tableau/datasets-733390-1272569-individuals.csv,csv,42004,text/csv,2021-06-28 01:59:00
flowerShipment.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-2/07-Data-Visualization-in-Python/flowerShipment.csv,csv,50619,text/csv,2021-06-28 01:59:00
flowers.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-2/07-Data-Visualization-in-Python/flowers.csv,csv,41117,text/csv,2021-06-28 01:59:00
glassdoor.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-1/05.5-Data-Recoding-in-R/glassdoor.csv,csv,1935165,text/csv,2021-06-28 01:59:00
glassdoor.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-1/05-Data-Recoding-Python/archive/glassdoor.csv,csv,1935165,text/csv,2021-11-30 17:41:28
volcanoes.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-1/02-Data-Wrangling-in-Python/volcanoes.csv,csv,2687607,text/csv,2021-06-28 01:59:00
olympicEvents.csv,DS104-Data-Wrangling-and-Visualization/Workshops/Week-1/02-Data-Wrangling-in-Python/olympicEvents.csv,csv,36182944,text/csv,2021-06-28 01:59:00
bear_markets.csv,DS104-Data-Wrangling-and-Visualization/Examples/bear_markets.csv,csv,1002,text/csv,2023-04-13 19:25:01
file2-Address.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/file2-Address.csv,csv,174,text/csv,2023-01-17 16:06:29
file1-Name.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/file1-Name.csv,csv,83,text/csv,2023-01-17 16:06:24
combined.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/combined.csv,csv,277,text/csv,2023-01-18 19:23:41
combined2.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/combined2.csv,csv,212,text/csv,2023-01-18 19:29:03
combined3.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/combined3.csv,csv,238,text/csv,2023-01-18 19:30:08
combined4.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/combined4.csv,csv,238,text/csv,2023-01-17 16:13:51
combined5.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/combined5.csv,csv,238,text/csv,2023-01-18 19:35:08
file1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/SourceFiles/file1.csv,csv,83,text/csv,2023-01-17 15:43:24
file2.csv,DS104-Data-Wrangling-and-Visualization/Examples/Combiner_Files/SourceFiles/file2.csv,csv,174,text/csv,2023-01-17 15:46:27
TA_TRANS_PP2_02010227_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/TA_TRANS_PP2_02010227_v1.csv,csv,14057,text/csv,2023-05-23 16:23:26
HR_TRANS_20210328_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/HR_TRANS_20210328_v1.csv,csv,3276,text/csv,2023-05-23 16:23:26
HR_TRANS_20210228_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/HR_TRANS_20210228_v1.csv,csv,6410,text/csv,2023-05-23 16:23:26
LES_PP4_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/LES_PP4_v1.csv,csv,20525,text/csv,2023-05-23 16:23:26
Pay_PP4_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/Pay_PP4_v1.csv,csv,782,text/csv,2023-05-23 16:23:26
HR_TRANS_20210302_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/HR_TRANS_20210302_v1.csv,csv,2236,text/csv,2023-05-23 16:23:26
LES_PP2_v1.csv,DS104-Data-Wrangling-and-Visualization/Examples/Synthetic-Data-Generation/converted_to_csv/LES_PP2_v1.csv,csv,21231,text/csv,2023-05-23 16:23:26
